id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights
188,Georgetown,10/21/2014,T,1,9,Entire home/apt,2,1 bath,1,1,200,31
190,Dupont Circle,1/27/2012,T,1,7,Entire home/apt,2,1.5 baths,1,1,195,31
192,Union Station,10/7/2014,T,1,3,Entire home/apt,2,1 bath,,1,91,2
194,Georgetown,10/21/2014,T,1,9,Entire home/apt,2,1 bath,2,1,192,1
196,Shaw,11/27/2013,T,1,2,Entire home/apt,2,1 bath,1,1,175,2
197,Georgetown,2/10/2015,F,0.98,2,Entire home/apt,4,1 bath,1,2,148,2
198,Georgetown,2/16/2015,F,0,2,Entire home/apt,3,1 bath,1,2,125,31
199,Shaw,12/29/2014,T,0.98,1,Entire home/apt,4,1 bath,,2,123,3
200,Foggy Bottom,3/5/2015,T,0.73,6,Entire home/apt,3,1 bath,,2,90,31
203,Union Station,3/14/2015,F,,3,Entire home/apt,2,1 bath,1,2,175,31
204,Shaw,11/20/2013,T,1,3,Entire home/apt,4,1 bath,1,1,155,2
206,Capitol Hill,3/27/2015,F,1,3,Entire home/apt,4,1 bath,2,2,150,31
208,Union Station,9/23/2013,T,0.99,4,Entire home/apt,6,2.5 baths,3,3,531,2
210,Union Station,6/24/2014,T,1,3,Entire home/apt,4,1 bath,1,3,180,1
211,Georgetown,4/5/2015,T,1,1,Entire home/apt,2,1 bath,1,1,196,2
215,Capitol Hill,4/19/2015,F,0.33,1,Entire home/apt,14,4.5 baths,4,6,395,7
221,Capitol Hill,7/28/2013,F,0.5,1,Entire home/apt,2,1.5 baths,1,1,115,31
223,Capitol Hill,10/22/2013,T,0.96,1,Entire home/apt,6,2.5 baths,3,3,364,3
226,Shaw,11/27/2013,T,1,2,Entire home/apt,6,3.5 baths,3,3,611,3
228,Georgetown,5/14/2012,T,0.99,3,Entire home/apt,3,1 bath,1,2,80,2
229,Capitol Hill,5/22/2015,T,0.86,3,Entire home/apt,10,3.5 baths,3,4,340,2
230,Capitol Hill,5/18/2009,F,0.99,164,Entire home/apt,2,1 bath,1,2,10,1
231,Shaw,1/13/2013,F,,1,Entire home/apt,3,1 bath,1,1,130,31
232,Georgetown,1/13/2015,F,0,1,Entire home/apt,2,1 bath,,1,125,31
233,Capitol Hill,9/25/2014,F,,1,Entire home/apt,1,1 bath,1,1,500,31
234,Union Station,11/21/2014,F,0.93,2,Entire home/apt,6,2.5 baths,3,4,256,2
235,Capitol Hill,6/14/2015,T,1,2,Entire home/apt,3,1 bath,,1,142,3
236,Capitol Hill,6/14/2015,F,0.93,1,Entire home/apt,2,1 bath,1,1,157,1
237,Shaw,1/1/2015,T,0.97,3,Entire home/apt,8,4.5 baths,5,5,518,1
238,Shaw,1/1/2015,T,0.97,3,Entire home/apt,8,1 bath,2,2,199,1
243,Capitol Hill,3/27/2015,F,1,3,Entire home/apt,5,1 bath,,3,56,31
244,Capitol Hill,9/17/2014,F,1,3,Entire home/apt,6,1 bath,1,3,191,2
245,Capitol Hill,7/6/2015,F,,1,Entire home/apt,4,1 bath,2,2,159,31
