listing_id,total_reviews,avg_rating
761,8,5
762,85,4.46
763,368,4.91
764,193,4.94
765,156,4.92
766,3,5
767,6,5
768,214,4.86
769,217,4.8
770,251,4.89
771,176,4.86
772,1,5
773,1,5
774,264,4.9
775,3,5
776,44,4.93
777,183,4.55
778,1,3
779,10,5
780,156,4.98
781,68,4.47
782,60,4.88
783,248,4.81
784,199,4.87
785,48,4.98
786,284,4.88
787,18,4.94
788,3,3.67
789,25,4.68
790,51,4.94
791,53,4.98
792,264,4.92
793,3,5
794,2,5
795,141,4.96
796,10,4.67
797,238,4.88
798,6,5
799,324,4.93
800,193,4.94
801,573,4.84
802,306,5
803,446,4.86
804,139,4.53
805,238,4.65
806,16,4.88
807,312,4.87
808,1,5
809,18,4.89
810,183,4.78
811,4,4.75
812,36,4.77
813,4,5
814,96,4.98
815,7,4.67
816,36,5
817,89,4.83
818,11,5
819,231,4.76
820,52,4.85
821,6,4.67
822,241,4.85
823,221,4.88
824,12,4.42
825,6,5
826,542,4.95
827,191,4.95
828,1,5
829,70,4.8
830,73,4.96
831,15,4.4
832,38,4.77
833,28,4.54
834,2,5
835,6,5
836,224,4.93
837,183,4.68
838,106,4.74
839,4,5
840,5,5
841,4,4.75
842,294,4.78
843,102,4.79
844,123,4.67
845,138,4.69
846,71,4.56
847,118,4.5
848,1,3
849,5,4.8
850,21,4.75
851,104,4.59
852,82,4.54
853,94,4.51
854,54,4.56
855,37,4.57
856,63,4.77
857,208,4.79
858,86,4.92
859,249,4.86
860,3,5
861,284,4.99
862,298,4.81
863,95,4.67
864,6,4.8
865,54,4.56
866,16,4.94
867,34,4.74
868,228,4.96
869,110,4.66
870,66,4.89
871,265,4.99
872,16,4.38
873,49,4.53
874,175,4.91
875,106,4.87
876,2,5
877,289,4.83
878,191,4.68
879,144,4.88
880,146,4.86
881,118,4.43
882,72,4.99
883,107,4.8
884,18,4.56
885,144,4.94
886,2,5
887,86,4.87
888,95,4.77
889,302,4.89
890,2,5
891,74,4.93
892,1,4
893,163,4.91
894,9,4.78
895,25,4.84
896,139,4.58
897,345,4.52
898,34,4.91
899,183,4.84
900,15,4.6
901,225,4.54
902,221,4.72
903,319,4.92
904,55,4.96
905,2,4.5
906,251,4.92
907,254,4.78
908,34,4.94
909,1,5
910,6,3.83
911,35,4.29
912,249,4.85
913,372,4.94
914,72,4.9
915,4,5
916,191,4.92
917,14,5
918,52,4.88
919,10,4.7
920,6,5
921,14,4.29
922,349,4.95
923,129,4.64
924,99,4.8
925,122,4.85
926,16,4.81
927,204,4.96
928,1,5
929,16,4.69
930,12,4.67
931,1,4
932,14,4.14
933,47,4.28
934,165,4.99
935,26,4.31
936,383,4.9
937,222,4.89
938,78,4.95
939,4,3.75
940,223,4.6
941,36,4.81
942,153,4.82
943,159,4.94
944,7,4.86
945,11,5
946,4,4.5
947,25,4.44
948,138,4.9
949,87,4.94
950,311,4.42
951,24,4.83
952,240,4.78
953,16,4.75
954,209,4.75
955,227,4.7
956,2,5
957,241,4.63
958,84,4.72
959,295,4.93
960,14,4.92
961,1,5
962,3,5
963,69,4.9
964,14,4.69
965,238,4.88
966,44,4.5
967,2,5
968,14,4.79
969,287,4.91
970,17,4.82
971,304,4.85
972,282,4.91
973,8,4.88
974,37,4.94
975,5,4.8
976,4,5
977,20,4.95
978,10,5
979,32,4.63
980,26,4.68
981,133,4.59
982,118,4.55
983,161,4.62
984,330,4.9
985,10,4.8
986,175,4.48
987,170,4.73
988,106,5
989,82,4.73
990,2,5
991,160,4.82
992,20,4.45
993,39,4.77
994,1,5
995,315,4.89
996,3,5
997,125,4.96
998,252,4.78
999,138,4.75
1000,46,4.93
1001,395,4.95
1002,1,5
1003,46,4.96
1004,105,4.8
1005,2,5
1006,48,4.65
1007,50,4.88
1008,67,4.99
1009,90,4.96
1010,313,4.67
1011,357,4.67
1012,309,4.64
1013,442,4.53
1014,370,4.78
1015,157,4.92
1016,99,4.94
1017,74,4.68
1018,112,4.46
1019,221,4.92
1020,182,4.82
1021,288,4.99
1022,1,5
1023,137,4.82
1024,1,5
1025,10,4.4
1026,66,4.56
1027,52,4.94
1028,120,4.87
1029,280,4.84
1030,11,5
1031,61,4.57
1032,147,4.93
1033,4,4
1034,65,4.82
1035,66,4.56
1036,14,4.43
1037,79,4.65
1038,1,1
1039,329,4.74
1040,179,4.64
1041,159,4.95
1042,5,5
1043,29,5
1044,363,4.69
1045,96,4.88
1046,6,5
1047,1,5
1048,8,4.88
1049,211,4.92
1050,34,4.82
1051,134,4.78
1052,60,4.8
1053,4,2.75
1054,14,4.57
1055,4,5
1056,55,4.91
1057,57,4.77
1058,14,4.5
1059,155,4.77
1060,1,4
1061,2,4.5
1062,181,4.86
1063,38,4.7
1064,263,4.91
1065,133,4.89
1066,3,5
1067,44,4.73
1068,64,4.55
1069,245,4.96
1070,32,4.69
1071,194,4.84
1072,249,4.89
1073,72,4.82
1074,58,4.43
1075,38,4.91
1076,168,4.91
1077,121,4.97
1078,228,4.68
1079,3,5
1080,86,4.98
1081,7,5
1082,239,4.93
1083,150,4.77
1084,2,5
1085,40,4.98
1086,247,4.84
1087,20,4.35
1088,41,4.83
1089,72,4.88
1090,207,4.95
1091,199,4.88
1092,43,4.58
1093,6,5
1094,114,4.49
1095,105,4.74
1096,125,4.54
1097,143,4.66
1098,62,4.87
1099,4,4.25
1100,37,4.95
1101,14,4.93
1102,107,4.83
1103,11,5
1104,15,4.87
1105,87,4.97
1106,7,4.71
1107,81,4.83
1108,9,4.5
1109,6,4.33
1110,6,4.67
1111,11,4.82
1112,10,4.33
1113,400,4.97
1114,191,4.79
1115,82,4.9
1116,33,4.52
1117,40,4.55
1118,2,5
1119,69,4.25
1120,6,4.33
1121,11,4.64
1122,7,4.33
1123,16,4.5
1124,13,4.23
